tweet_id,features
0,"['rare', 'form', 'machine', 'learning', 'spot', 'hackers', 'already', 'broken']"
1,"['new', 'post', 'artificial', 'intelligence', 'pivotal', 'delivering', 'customer', 'service', 'new', 'times']"
2,"['toyotas', 'lq', 'concept', 'introduces', 'helpmate', 'named', 'yui']"
3,"['heavy', 'rotation', 'interpretbank', 'autumn']"
4,"['improving', 'hundreds', 'small', 'details', 'make', 'tool', 'mo']"
5,"['tips', 'futurize', 'cannabusiness', 'artificial', 'intelligence']"
6,"['dont', 'fragile', 'male', 'ego', 'reason', 'dont', 'artificial', 'intelligence', 'calling', 'balls', 'strike']"
7,"['silicon', 'valley', 'companies', 'want', 'help', 'us', 'government', 'acquire', 'next', 'generation', 'artificial', 'intel']"
8,"['watcha', 'think', 'bout', 'heather', 'scary', 'stuff', 'hands', 'megalomaniacs']"
9,"['best', 'machine', 'learning', 'data', 'mining', 'nlp', 'books']"
10,"['technologies', 'remaking', 'world', 'pervasive', 'computing', 'wireless', 'mesh', 'networks', 'biotechnology', 'printi']"
11,"['dark', 'side', 'artificial', 'intelligence', 'facial', 'recognition', 'via', 'data', 'made', 'simple']"
12,"['tips', 'futurize', 'cannabusiness', 'artificial', 'intelligence']"
13,"['start', 'using', 'machine', 'learning', 'algorithms', 'buying', 'selling', 'digital', 'ads', 'via']"
14,"['way', 'block', 'specific', 'phrase', 'twitter', 'style', 'misspelled', 'incharacter', 'catposting', 'twi']"
15,"['ways', 'machine', 'learning', 'close', 'legacy', 'erp', 'gaps']"
16,"['mit', 'researchers', 'use', 'machine', 'learning', 'detect', 'ip', 'hijackings', 'occurs', 'techrepublic']"
17,"['didnt', 'lifeguard', 'save', 'drowning', 'hippie', 'far', 'man']"
18,"['hahaha', 'useless', 'species', 'member', 'learning', 'newly', 'furry', 'chest', 'meant', 'shower', 'partners', 'would', 'go']"
19,"['ai', 'america', 'promising', 'artificial', 'intelligence', 'companies', 'forbes']"
20,['…']
21,"['today', 'built', 'augmented', 'reality', 'demo', 'ported', 'machine', 'learning', 'model', 'run', 'windows', 'store', 'app']"
22,"['patiently', 'waiting', 'someone', 'use', 'machine', 'learning', 'auto', 'skip', 'burned', 'podcast', 'ads']"
23,"['social', 'stat', 'people', 'talk', 'people', 'like', 'cannibals', 'eat', 'cannibals', 'people', 'talk', 'events', 'talk']"
24,['reading']
25,"['next', 'frontier', 'healthcare']"
26,"['latest', 'artificial', 'intelligence', 'daily', 'thanks']"
27,"['amendments', 'ip', 'sector', 'well', 'advancements', 'ai', 'sector', 'driving', 'media', 'sector']"
28,"['artificial', 'intelligence', 'disruptor', 'also', 'accelerant', 'potential', 'enrich', 'human', 'learn']"
29,"['artificial', 'intelligence', 'changing', 'seo', 'faster', 'think', 'techcrunch']"
30,"['gymnastics', 'officials', 'making', 'artificial', 'intelligence', 'technology', 'available', 'judges', 'week', 'world', 'champio']"
31,"['changing', 'company', 'key', 'often', 'biggest', 'challenge', 'scaling', 'across', 'organization']"
32,"['artificial', 'intelligence', 'masters', 'game', 'poker', 'mean', 'humans']"
33,['by']
34,"['train', 'local', 'ml', 'model', 'azure', 'machine', 'learning', 'service', 'learn']"
35,"['artificial', 'intelligence', 'one', 'expert', 'says', 'waste', 'money', 'via']"
36,"['another', 'conspiracy', 'rigorous', 'artificial', 'intelligence', 'elon', 'musk', 'warned', 'us', 'alternate', 'dimension', 'maybe']"
37,"['using', 'machine', 'learning', 'hunt', 'cybercriminals']"
38,"['top', 'story', 'ai', 'augmentation', 'real', 'future', 'artificial', 'intelligence', 'see']"
39,"['theres', 'great', 'metaphor', 'machine', 'learning']"
40,"['machine', 'learning', 'deployment']"
42,"['machine', 'learning', 'service', 'market', 'anticipated', 'grow', 'impressive', 'rate']"
43,"['something', 'ive', 'worked', 'never', 'wrote', 'proof', 'integral', 'function', 'positive', 'definite', 'po']"
44,"['forbes', 'ai', 'artificial', 'intelligence', 'next', 'frontier', 'healthcare']"
45,['via']
46,"['another', 'part', 'sad', 'description', 'classical', 'neural', 'networks', 'current']"
47,"['become', 'valuable', 'humanmachine', 'collaboration', 'advances', 'reasoning']"
48,"['topaz', 'labs', 'photography', 'software', 'powered', 'machine', 'learning']"
49,"['machine', 'learning', 'identifying', 'malware', 'names']"
50,"['prof', 'fred', 'finkelstein', 'promises', 'make', 'approach', 'quality', 'life', 'assessment', 'keen', 'people', 'erf', 'ha']"
51,"['second', 'thought', 'iq', 'meant', 'artificial', 'intelligence', 'cant']"
